Heureux Cyclage;Atelier;Adresse;Code postal;Ville;Pays;Latitude;Longitude
Oui;uN p'Tit véLo dAnS La Tête;921 rue des résidences;38400; ST MARTIN D’HÈRES;France;45.1891553;5.7689502
Oui;uN p'Tit véLo dAnS La Tête;5 rue de Londres;38000;GRENOBLE;France;45.1841391;5.7152629
Oui;Roulons à Vélo;impasse Marcel Reynier;84000;AVIGNON;France;43.93713878281259;4.804091155529023
Oui;La vélobricolade 58;58, place Fodéré;73000;CHAMBERY;France;45.562805744971385;5.921464562416077
Oui;La Vélobricolade Aixoise;166 Allée Edmond et Jean Rostand;73100;AIX-LES-BAINS;France;45.6912558;5.9026716
Oui;La Vélobricolade Albertvilloise;Box 5 - 21/23 rue des Fleurs;73200;ALBERTVILLE;France;45.6672800635533;6.388673186302186
Oui;Vélobricolade Combe de Savoie;12 rue François Dumas;73800;MONTMÉLIAN;France;45.502079654156965;6.056902706623078
Oui;Dynamo, l'Atelier du Vélo;35 Grande Rue;54000;NANCY;France;48.69588029821691;6.180737614631653
Oui;Récup'R;4, rue des Terres de Borde;33800;BORDEAUX;France;44.8287651;-0.5544139
Oui;Collectif Vélos en Ville;24 rue Moustier;13001;MARSEILLE;France;43.29409;5.38073
Oui;Cyclofficine de Paris-Est;15 rue Pierre Bonnard;75020;PARIS;France;48.8594656;2.4034965
Oui;Atelier de Fougères;3 Rue de Noisy le Sec;75020;PARIS;France;48.87159863178263;2.411048412322998
Oui;CRADE;centre socio-culturel La Balise, 5 rue du Colonel Moll;29900;CONCARNEAU;France;47.873676857518795;-3.9212071895599365
Oui;Le Laboratoire Penn Rustin;24, Route d'Audierne;29100;DOUARNENEZ;France;48.06982347338335;-4.350317716598511
Oui;Atelier Bolière;2 rue Stendhal;45100;ORLÉANS;France;47.83222973397517;1.9279289245605469
Oui;Atelier de l'Argonne;1 - 15 Rue du Grand Villiers;45000;ORLÉANS;France;47.91093800218808;1.9331109523773191
Oui;Maillon solidaire;10 rue de Londres;90000;BELFORT;France;47.63082;6.844171999999958
Oui;atelier de la Bouloie;7 rue Laplace;25000;BESANÇON;France;47.25035371647651;5.98729133605957
Oui;atelier de l'Arène;34 Rue d'Arènes;25000;BESANÇON;France;47.2390053;6.0178887
Oui;SoliCycle Clichy-la-Garenne;132 rue Martre;92110;CLICHY;France;48.9026596;2.3040927
Oui;Bicyclo, la Maison du Vélo;120 Rue Gabriel Péri;93200;SAINT-DENIS;France;48.940937158565106;2.35680341720581
Oui;SoliCycle Les Ulis;3, esplanade de la République;91940;LES ULIS;France;48.68169586252751;2.1702986955642696
Oui;Solicycle Porte de Vanves;1/3 Rue Prévost-Paradol;75014;PARIS;France;48.8260898;2.3085435
Oui;Solicycle Berges de Seine;Voie Georges Pompidou, sous le pont d'Arcole;75004;PARIS;France;48.855961557942265;2.3506128787994385
Oui;Solicycle Campus d'Orsay;Avenue Jean Perrin, en face du BAT 308;91400;ORSAY;France;48.7017558780473;2.174692153930664
Oui;SoliCycle Paris 18e;4 bis rue d'Oran;75018;PARIS;France;48.888978466960076;2.3540478943687053
Oui;SoliCycle Bezons;16 rue de la Berthie;95870;BEZONS;France;48.93652618782729;2.204897402843926
Oui;SoliCycle CROUS Pajol;65 rue Philippe de Girard;75018;PARIS;France;48.88644756863815;2.360885739326477
Oui;SoliCycle Paris 16e;51 boulevard Exelmans;75016;PARIS;France;48.84189506461989;2.2616386413574223
Oui;Atelier Partage d'Asnières;1 avenue du Docteur Flemming;92600;ASNIÈRES-SUR-SEINE;France;48.931645406549414;2.281390428543091
Oui;Atelier vélo;27 Rue Saint-Vincent;92700;COLOMBES;France;48.9214204;2.2593366
